a	b	c	d	m	residual_chi	residual_chibar	floor	note
-4609	3519	-6423	4904	3	2.590688e-09	1.175571e+00	6.115342e-13	
-1538	1311	-2141	1825	1	2.691494e-10	1.902113e+00	9.320277e-48	
-1543	1334	-2141	1851	1	1.194822e-10	1.902113e+00	7.540206e-48	
-1549	1201	-2141	1660	1	1.181476e-10	1.175571e+00	4.185933e-48	
-3099	2431	-4282	3359	2	1.454817e-10	1.175571e+00	2.323009e-22	
-1574	1227	-2141	1669	1	2.157387e-11	1.902113e+00	4.562053e-48	
-1636	1325	-2141	1734	1	3.216637e-10	1.902113e+00	1.791252e-47	
-1650	1361	-2141	1766	1	8.083672e-11	1.902113e+00	9.651054e-48	
-1651	1277	-2141	1656	1	1.729254e-10	1.902113e+00	5.422485e-48	
-1770	1541	-2141	1864	1	7.798456e-10	1.175571e+00	1.527101e-47	
