a,b,c,d
-1,-1,0,-1
-156,29,-2141,398
-172,105,-2141,1307
-190,41,-2141,462
-200,61,-2141,653
-208,133,-2141,1369
-220,41,-2141,399
-222,59,-2141,569
-228,41,-2141,385
-231,41,-2141,380
-246,155,-2141,1349
-248,109,-2141,941
-509,366,-4282,3079
-511,108,-4282,905
-258,191,-2141,1585
-260,81,-2141,667
-272,101,-2141,795
-276,173,-2141,1342
-277,48,-2141,371
-280,181,-2141,1384
-282,179,-2141,1359
-290,81,-2141,598
-589,163,-4282,1185
-296,133,-2141,962
-625,168,-4282,1151
-941,350,-6423,2389
-316,89,-2141,603
-318,101,-2141,680
-320,181,-2141,1211
-324,125,-2141,826
-325,211,-2141,1390
-327,95,-2141,622
-332,205,-2141,1322
-671,422,-4282,2693
-336,293,-2141,1867
-673,251,-4282,1597
-340,101,-2141,636
-343,62,-2141,387
-1034,373,-6423,2317
-348,197,-2141,1212
-365,216,-2141,1267
-737,279,-4282,1621
-370,281,-2141,1626
-374,305,-2141,1746
-376,85,-2141,484
-759,466,-4282,2629
-381,134,-2141,753
-383,161,-2141,900
-1157,807,-6423,4480
-393,230,-2141,1253
-395,326,-2141,1767
-795,448,-4282,2413
-1989,1285,-10705,6916
-3583,1511,-19269,8126
-799,348,-4282,1865
-1211,464,-6423,2461
-809,454,-4282,2403
-2028,1285,-10705,6783
-2841,1079,-14987,5692
-407,96,-2141,505
-819,346,-4282,1809
-821,603,-4282,3145
-413,125,-2141,648
-1247,723,-6423,3724
-837,535,-4282,2737
-440,261,-2141,1270
-883,239,-4282,1159
-444,281,-2141,1355
-1340,387,-6423,1855
-447,233,-2141,1116
-3577,1049,-17128,5023
-3133,1280,-14987,6123
-448,181,-2141,865
-897,190,-4282,907
-449,177,-2141,844
-1355,997,-6423,4726
-4974,1927,-23551,9124
-1364,615,-6423,2896
-455,146,-2141,687
-456,269,-2141,1263
-461,104,-2141,483
-6932,2051,-32115,9502
-925,418,-4282,1935
-2317,1614,-10705,7457
-3245,768,-14987,3547
-1855,754,-8564,3481
-464,197,-2141,909
-466,143,-2141,657
-467,402,-2141,1843
-468,341,-2141,1560
-6094,1687,-27833,7705
-3282,2597,-14987,11859
-469,223,-2141,1018
-4225,2479,-19269,11306
-2348,549,-10705,2503
-941,525,-4282,2389
-472,125,-2141,567
-481,133,-2141,592
-485,111,-2141,490
-488,173,-2141,759
-1466,535,-6423,2344
-1955,854,-8564,3741
-6356,2773,-27833,12143
-6358,2325,-27833,10178
-496,357,-2141,1541
-995,313,-4282,1347
-499,382,-2141,1639
-4001,1463,-17128,6263
-1501,609,-6423,2606
-502,385,-2141,1642
-1519,429,-6423,1814
-1522,577,-6423,2435
-3047,1116,-12846,4705
-509,223,-2141,938
-511,216,-2141,905
-515,426,-2141,1771
-2073,785,-8564,3243
-522,197,-2141,808
-554,325,-2141,1256
-556,489,-2141,1883
-2225,1384,-8564,5327
-558,233,-2141,894
-1679,510,-6423,1951
-1121,505,-4282,1929
-1684,651,-6423,2483
-3933,1040,-14987,3963
-1125,418,-4282,1591
-1129,468,-4282,1775
-3391,2130,-12846,8069
-2261,1041,-8564,3943
-1697,1339,-6423,5068
-5093,2812,-19269,10639
-3964,1519,-14987,5743
-2273,1313,-8564,4947
-574,237,-2141,884
-575,311,-2141,1158
-1727,527,-6423,1960
-578,169,-2141,626
-579,311,-2141,1150
-581,454,-2141,1673
-586,433,-2141,1582
-1175,818,-4282,2981
-588,209,-2141,761
-590,361,-2141,1310
-2964,1285,-10705,4641
-593,421,-2141,1520
-596,233,-2141,837
-3581,1335,-12846,4789
-6566,4625,-23551,16589
-2389,1457,-8564,5223
-599,350,-2141,1251
-600,461,-2141,1645
-1802,1235,-6423,4402
-5410,2049,-19269,7298
-1804,571,-6423,2033
-1203,1060,-4282,3773
-2407,1898,-8564,6753
-607,184,-2141,649
-616,349,-2141,1213
-619,534,-2141,1847
-621,449,-2141,1548
-1247,461,-4282,1583
-4388,1851,-14987,6322
-11287,4718,-38538,16109
-5017,1558,-17128,5319
-1882,1291,-6423,4406
-10671,3157,-36397,10768
-8161,5625,-27833,19184
-1257,460,-4282,1567
-632,405,-2141,1372
-3164,1985,-10705,6716
-6329,3858,-21410,13051
-15826,11191,-53525,37849
-10762,7419,-36397,25091
-3799,1130,-12846,3821
-634,191,-2141,645
-635,261,-2141,880
-1275,943,-4282,3167
-638,371,-2141,1245
-1949,1120,-6423,3691
-651,419,-2141,1378
-652,289,-2141,949
-1958,1341,-6423,4399
-655,361,-2141,1180
-662,457,-2141,1478
-663,458,-2141,1479
-5987,4179,-19269,13450
-12641,8013,-40679,25786
-1331,829,-4282,2667
-1333,504,-4282,1619
-1341,787,-4282,2513
-2017,1426,-6423,4541
-1349,752,-4282,2387
-2024,1407,-6423,4465
-683,245,-2141,768
-740,281,-2141,813
-742,419,-2141,1209
-746,323,-2141,927
-748,305,-2141,873
-751,637,-2141,1816
-1503,1066,-4282,3037
-767,302,-2141,843
-769,542,-2141,1509
-1543,667,-4282,1851
-6175,4292,-17128,11905
-772,697,-2141,1933
-3863,1394,-10705,3863
-774,449,-2141,1242
-782,679,-2141,1859
-2348,915,-6423,2503
-783,719,-2141,1966
-3922,3179,-10705,8677
-5492,2095,-14987,5717
-1571,729,-4282,1987
-3143,1279,-8564,3485
-786,623,-2141,1697
-787,440,-2141,1197
-3949,2756,-10705,7471
-790,721,-2141,1954
-2371,1859,-6423,5036
